region; plant_type; bloom_period; common_name; scientific_name; life_cycle; flower_color; max_height; water_needs; notes
California; Forbs; Early; Baby blue eyes; Nemophila menziesii; Annual; Blue; 0.25; Low; Stunning sky blue flowers attract native bees, including mason bees (Osmia spp.), tolerates moderate shade and moisture.
California; Forbs; Early; Common tidytips; Layia platyglossa; Annual; Yellow; 0.25; Low; Sunny yellow and white flowers are very attractive to butterflies and native bees. Tolerates clay soils.
California; Forbs; Early; Lacy phacelia; Phacelia tanacetifolia; Annual; Purple; 3; Low; Easy to establish, with prolific, showy blooms. Tolerates clay soils.
California; Forbs; Early-Mid; California poppy; Eschscholzia californica; Annual, Perennial; Orange; 0.5; Low; Easy to establish and long blooming. Attracts a diversity of bees, bumble bees in particular.
California; Forbs; Early-Mid; Elegant clarkia; Clarkia unguiculata; Annual; Pink; 0.5; Low; Strikingly unique flowers attract bees and butterflies. Larval host for Clark's sphinx moth.
California; Forbs; Early-Mid; Globe gilia; Gilia capitata; Annual, Perennial; Blue; 1; Medium; Globe-shaped, periwinkle-blue flower clusters attract a diversity of bees and butterflies.
California; Forbs; Mid; California phacelia; Phacelia californica; Perennial; Purple; 1; Low; Tightly coiled flower heads are very attractive to butterflies, bumble bees and other native bees. Tolerates clay soils.
California; Forbs; Mid; Cleveland sage; Salvia clevelandii; Perennial; Purple; 3; Low; Showy flowers attract bees, butterflies, and hummingbirds. Extremely fragrant foliage. Requires good drainage.
California; Forbs; Mid; Foothill penstemon; Penstemon heterophyllus; Perennial; Blue; 3; Low; Iridescent violet flowers attract bees, butterflies, and hummingbirds. Requires good drainage. Heat and drought tolerant.
California; Forbs; Mid; Narrowleaf milkweed; Asclepias fascicularis; Perennial; Pink, White; 1.5; Medium; Monarch butterfly host plant. High-quality nectar source for many bees. Easier to establish from transplants than from seed.
California; Forbs; Mid; Summer lupine; Lupinus formosus; Perennial; Purple; 1.5; Low; This and other lupines are highly attractive to bumble bees and visited by many other native bees.
California; Forbs; Mid-Late; Common sunflower; Helianthus annuus; Annual; Yellow; 5; Medium; Sunflowers are a favorite of many bee species. Easy to establish and tolerant of clay soils.
California; Forbs; Mid-Late; Gumplant; Grindelia camporum; Perennial; Yellow; 4; Low; Long-lasting flowers. Attracts small, native bees. Tolerates clay soils and wet or dry conditions.
California; Forbs; Late; California aster; Symphyotrichum chilense; Perennial; Purple; 5; Low; One of the latest fall blooming plants. Important for pre-hibernation bumble bee queens. Tolerates clay soils.
California; Forbs; Late; California fuchsia; Epilobium canum; Perennial; Orange, Red; 3; Low; Abundant scarlet-colored flowers. Critical late-season nectar source for hummingbirds and bees.
California; Forbs; Late; California goldenrod; Solidago velutina californica; Perennial; Yellow; 3; Medium; Important late-season forage for bees, butterflies, beneficial solitary wasps, pollen-eating soldier beetles, and more.
California; Shrubs & Trees; Early; California lilac; Ceanothus azureus 'Concha'; Perennial; Purple; 4; Low; Attracts bees and butterflies with a profusion of bright violet-blue flowers. Tolerates clay soils.
California; Shrubs & Trees; Early; McMinn manzanita; Arctostaphylos densiflora 'Howard McMinn'; Perennial; White; 5; Low; Clusters of small, bell-shaped flowers provide early season forage for bumble bees and other spring bees. Tolerates clay soils.
California; Shrubs & Trees; Early; Oregon grape; Berberis aquifolium; Perennial; Yellow; 5; Low; Attracts honey bees and native bees, including mason bees (Osmia spp.). Tolerates shade and wet or dry conditions.
California; Shrubs & Trees; Early; Redbud; Cercis occidentalis; Perennial; Pink, Red; 15; Medium; Rose-colored blooms clustered on bare branches. Tolerates some shade and moisture. Can be pruned to a shrub or small tree.
California; Shrubs & Trees; Early; California buckthorn; Rhamnus californica; Perennial; White; 5; Low; Attractive, evergreen shrub that attracts small, native bees. Its berries are a favorite of birds. Tolerates some shade.
California; Shrubs & Trees; Early-Mid; California flannelbrush; Fremontodendron californicum; Perennial; Yellow; 15; Low; Prolific bloomer with large, bell-shaped yellow flowers. Does not need summer water.
California; Shrubs & Trees; Early-Mid; Silver bush lupine; Lupinus albifrons; Perennial; Purple; 3; Low; Showy, deep purple flowers with contrasting silver foliage. Attracts numerous bee species. Requires good drainage.
